Product,Product_code,Quantity_sales_batch_unit,Price_excl_vat_per_sales_unit,Quantity_base_unit,Price_excl_vat_per_base_unit,Producer,Sustainable,Meat_certs,Supplier
Bass Strait Beef Steak Flank 32 LB AVG HALAL,,,,,,,,,
,2210SY,6.421 CS,$263.680 / CS,205.470 lb,$8.240 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
BEEF BARBACOA,,,,,,,,,
BEEF CORNED BTM RND FLT SLI 15,,,,,,,,,
,8294605,4.000 CS,$72.120 / CS,40.000 lb,$7.212 / lb,,No,,Sysco Food Services Inc
,8294605,2.000 CS,$73.830 / CS,20.000 lb,$7.383 / lb,,No,,Sysco Food Services Inc
,8294605,13.000 CS,$75.770 / CS,130.000 lb,$7.577 / lb,,No,,Sysco Food Services Inc
BEEF FLANK STK SKND USA,,,,,,,,,
,6765572,4.851 CS,$173.431 / CS,147.850 lb,$5.690 / lb,,No,,Sysco Food Services Inc
,6765572,4.959 CS,$195.042 / CS,151.150 lb,$6.399 / lb,,No,,Sysco Food Services Inc
BEEF FRITTER CHKN CNTRY 8 OZ,,,,,,,,,
,6625198,115.000 CS,$68.400 / CS,"1,150.000 lb",$6.840 / lb,Supreme Angus,No,,Sysco Food Services Inc
,6625198,249.000 CS,$69.090 / CS,"2,490.000 lb",$6.909 / lb,Supreme Angus,No,,Sysco Food Services Inc
,6625198,27.000 CS,$74.200 / CS,270.000 lb,$7.420 / lb,Supreme Angus,No,,Sysco Food Services Inc
BEEF GRND (H) 1/1 LB,,,,,,,,,
,00220225-01-002,580.000 lb,$4.640 / lb,580.000 lb,$4.640 / lb,,,,Del Monte (Allen Brothers)
BEEF GRND PTY 4/1 RND NIMAN 1/15 LB CS (VAC PACK),,,,,,,,,
,00152624-01-002,5.000 CS,$103.650 / CS,75.000 lb,$6.910 / lb,,,,Del Monte (Allen Brothers)
Beef Ground HALAL 85/15 6 (10 lb) ,,,,,,,,,
,220115-03,0.000 CS,$216.600 / CS,0.000 LB,$3.610 / LB,,No,,Del Monte (Allen Brothers)
"BEEF GROUND PATTIES 5/32"" 80/20 3.2OZ 56CT POLY 11.2#/CS HALAL",,,,,,,,,
,6823,12.000 CS,$66.970 / CS,134.400 lb,$5.979 / lb,,,,Cream Co Meats
Beef Oxtail 2 Inch Semi To Cc (No Tip),,,,,,,,,
,00707090-01-003,0.000 CS,$224.600 / CS,0.000 lb,$11.230 / lb,,,,Del Monte (Allen Brothers)
BEEF OXTAIL 2 INCH SEMI TO CC (NO TIP) V 1/40 LB CS BULK (VAC PACK),,,,,,,,,
,00707090-01-002,15.041 CS,$424.000 / CS,601.600 lb,$10.600 / lb,,,,Del Monte (Allen Brothers)
BEEF OXTAIL CUT TO SPEC 1/30 LB CS,,,,,,,,,
,00230900-01-002,4.605 CS,$257.700 / CS,138.160 lb,$8.590 / lb,,,,Del Monte (Allen Brothers)
,00230900-01-002,1.016 CS,$264.600 / CS,30.480 lb,$8.820 / lb,,,,Del Monte (Allen Brothers)
BEEF PASTRAMI BTM RND CKD SLI,,,,,,,,,
,2943421,3.000 CS,$75.420 / CS,30.000 lb,$7.542 / lb,,No,,Sysco Food Services Inc
,2943421,2.000 CS,$78.350 / CS,20.000 lb,$7.835 / lb,,No,,Sysco Food Services Inc
,2943421,5.000 CS,$79.500 / CS,50.000 lb,$7.950 / lb,,No,,Sysco Food Services Inc
,2943421,8.000 CS,$81.870 / CS,80.000 lb,$8.187 / lb,,No,,Sysco Food Services Inc
,2943421,8.000 CS,$85.240 / CS,80.000 lb,$8.524 / lb,,No,,Sysco Food Services Inc
,2943421,0.500 CS,$327.480 / CS,5.000 lb,$32.748 / lb,,No,,Sysco Food Services Inc
Beef Patty 4 oz (4/1) Cream Co. 18 LB AVG HALAL,,,,,,,,,
,6830,16.000 CS,$102.780 / CS,288.000 lb,$5.710 / lb,Cream Co*,,,Cream Co Meats
,6830,7.000 CS,$107.610 / CS,126.000 lb,$5.978 / lb,Cream Co*,,,Cream Co Meats
,6830,191.000 CS,$107.640 / CS,"3,438.000 lb",$5.980 / lb,Cream Co*,,,Cream Co Meats
Beef Patty 5.33 oz (3/1) Cream Co. 16 LB AVG HALAL,,,,,,,,,
,6840,6.000 CS,$91.360 / CS,96.000 lb,$5.710 / lb,Cream Co*,,,Cream Co Meats
,6840,119.000 CS,$95.680 / CS,"1,904.000 lb",$5.980 / lb,Cream Co*,,,Cream Co Meats
Beef Roast Bottom Round Sliced,,,,,,,,,
,2936425,23.000 CS,$78.720 / CS,230.000 lb,$7.872 / lb,,,,Sysco Food Services Inc
,2936425,14.000 CS,$79.990 / CS,140.000 lb,$7.999 / lb,,,,Sysco Food Services Inc
,2936425,8.000 CS,$83.020 / CS,80.000 lb,$8.302 / lb,,,,Sysco Food Services Inc
,2936425,1.000 CS,$83.920 / CS,10.000 lb,$8.392 / lb,,,,Sysco Food Services Inc
,2936425,23.000 CS,$87.810 / CS,230.000 lb,$8.781 / lb,,,,Sysco Food Services Inc
,2936425,0.250 CS,$352.280 / CS,2.500 lb,$35.228 / lb,,,,Sysco Food Services Inc
BEEF ROAST SLI TOP RND .5 OZ,,,,,,,,,
,2252427,11.000 CS,$103.940 / CS,132.000 lb,$8.662 / lb,,No,,Sysco Food Services Inc
,2252427,4.000 CS,$106.740 / CS,48.000 lb,$8.895 / lb,,No,,Sysco Food Services Inc
,2252427,8.000 CS,$108.740 / CS,96.000 lb,$9.062 / lb,,No,,Sysco Food Services Inc
,2252427,11.000 CS,$109.740 / CS,132.000 lb,$9.145 / lb,,No,,Sysco Food Services Inc
BEEF ROAST TOP RND SLI C/OFF,,,,,,,,,
,4754358,3.000 CS,$78.560 / CS,30.000 lb,$7.856 / lb,,No,,Sysco Food Services Inc
,4754358,3.000 CS,$82.250 / CS,30.000 lb,$8.225 / lb,,No,,Sysco Food Services Inc
,4754358,7.000 CS,$82.730 / CS,70.000 lb,$8.273 / lb,,No,,Sysco Food Services Inc
,4754358,1.000 CS,$86.390 / CS,10.000 lb,$8.639 / lb,,No,,Sysco Food Services Inc
,4754358,10.000 CS,$88.630 / CS,100.000 lb,$8.863 / lb,,No,,Sysco Food Services Inc
BEEF SHLDR TNDR TERES MAJOR,,,,,,,,,
,9676396,2.000 CS,$7.152 / CS,120.000 lb,$0.119 / lb,,No,,Sysco Food Services Inc
,9676396,2.882 CS,$435.120 / CS,172.900 lb,$7.252 / lb,,No,,Sysco Food Services Inc
Beef Sirloin Philly Sliced Raw Cream Co. 20 LB AVG HALAL,,,,,,,,,
,6815,237.222 CS,$145.600 / CS,"4,744.440 lb",$7.280 / lb,Cream Co*,,,Cream Co Meats
Beef Sliced Fajita Cut Thick,,,,,,,,,
,00232025-01-003,0.000 CS,$421.500 / CS,0.000 LB,$8.430 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
Beef Sliced Stir Fry Cut,,,,,,,,,
,00232000-01-003,103.780 CS,$6.870 / CS,103.780 LB,$6.870 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
,00232000-01-003,0.000 CS,$8.080 / CS,0.000 LB,$8.080 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
,00232000-01-003,0.000 CS,$8.350 / CS,0.000 LB,$8.350 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
Beef Sliced Thin (Stir-Fry Cut) Cream Co. 20 LB AVG HALAL,,,,,,,,,
,6814,213.463 CS,$145.600 / CS,"4,269.260 lb",$7.280 / lb,Cream Co*,,,Cream Co Meats
,6814,13.000 CS,$157.600 / CS,260.000 lb,$7.880 / lb,Cream Co*,,,Cream Co Meats
Beef Steak Flank Creekstone 35 LB AVG HALAL,,,,,,,,,
,57585,4.560 CS,$298.550 / CS,159.610 LB,$8.530 / LB,Creekstone Naturals,Yes,"CH: Certified Humane Raised and Handled, GAP: Global Animal Partnership Certified",Cream Co Meats
,57585,0.000 CS,$376.600 / CS,0.000 LB,$10.760 / LB,Creekstone Naturals,Yes,"CH: Certified Humane Raised and Handled, GAP: Global Animal Partnership Certified",Cream Co Meats
Beef Steak Flank Greenham 32 LB AVG HALAL,,,,,,,,,
,2210NQ,0.000 CS,$263.680 / CS,0.000 lb,$8.240 / lb,Greenham,,,Cream Co Meats
Beef Steak Flank Greenham Bass Strait 32 LB AVG HALAL,,,,,,,,,
,2210SY,12.622 CS,$242.240 / CS,403.890 lb,$7.570 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
