Semester,week,day,meal,dining_hall,recipe,Ingredient,Category,percent_meat,meat_price_per_dish,Expected_lb_meat_portion,oz_meat_per_dish,Conventional_price_lb,Sustainable_price_lb,Default_sus,portion_size_oz,planned_portions,planned_weight_lbs,cost_recipe_per_portion
SP26,1,Sunday,Dinner,CKC,Chicken Thigh Honey Mustard Baked HALAL,Chicken Thigh Boneless HALAL,Chicken,0.94,0.5,0.25,4,1.98,,No,4.26,800,213.24,
SP26,3,Thursday,Dinner,CKC,Jambalaya Andouille Sausage Chicken Shrimp,Chicken Breast Fajita Cut,Chicken,0.17,0.19,0.06,0.96,3.15,,No,5.69,770,273.92,
SP26,2,Wednesday,Lunch,CKC,Beef Broccoli Stir Fry,Beef Sirloin Stir-Fry Cut,Beef,0.33,0.67,0.08,1.28,8.35,,No,3.93,750,184.22,
SP26,3,Thursday,Lunch,C3,Stew Beef Rendang (HS) HALAL,Beef Stew Cut (HS) Halal,Beef,0.66,2.02,0.24,3.84,,8.43,Yes,5.8,750,272.07,2.71
F25,3,Thursday,Lunch,C3,Stew Beef Rendang (HS) HALAL,Beef Stew Cut (HS) Halal,Beef,0.66,2.02,0.24,3.84,,8.43,Yes,5.8,750,272.07,2.95
F25,2,Wednesday,Dinner,XRDS,Sausage Pork Link,Sausage Breakfast Pork Link,Pork,1,0.6,0.13,2,4.81,,No,2,700,87.5,0.52
SP26,2,Saturday,Dinner,CKC,Chicken Thigh Tikka Masala,Chicken Diced Meat Precooked,Chicken,0.65,0.8,0.2,3.2,4.02,,No,4.91,700,214.81,
F25,4,Tuesday,Dinner,C3,Chicken Breast Chipotle HALAL AF,Chicken Breast B/S Raw HALAL,Chicken,0.03,0.03,0.02,0.25,2.96,2.09,Yes,7.47,685,319.99,2.94
F25,2,Sunday,Dinner,CKC,Stew Pork Filipino Adobo,Pork Stew Cut,Pork,0.78,1.13,0.24,3.84,4.69,4.62,No,4.9,680,208.37,1.2
SP26,4,Friday,Lunch,CKC,Chicken Thigh Jerk Baked HALAL,Chicken Thigh Boneless HALAL,Chicken,0.9,0.48,0.24,3.84,1.98,,No,4.25,667,177.07,
F25,3,Tuesday,Dinner,CKC,Beef Brisket BBQ Braised HALAL,Beef Brisket Whole HALAL,Beef,0.85,1.34,0.24,3.84,,5.6,Yes,4.52,665,187.73,1.3
SP26,1,Wednesday,Lunch,CKC,Chicken Thigh Honey Mustard Baked HALAL,Chicken Thigh Boneless HALAL,Chicken,0.94,0.5,0.25,4,1.98,,No,4.26,640,170.59,
SP26,1,Saturday,Dinner,CKC,Beef Carne Asada Diced Precooked,Beef Carne Asada Diced 1/4 Fully Cooked,Beef,1,1.61,0.19,3.04,8.46,0,No,3.04,632,120.08,
F25,4,Wednesday,Dinner,CKC,Beef Carne Asada Diced Precooked,Beef Carne Asada Diced 1/4 Fully Cooked,Beef,1,1.61,0.19,3.04,8.46,0,No,3.04,632,120.08,1.56
SP26,1,Tuesday,Lunch,CKC,Beef Ground Taco Meat Sauteed HALAL,Beef Ground HALAL,Beef,0.72,0.62,0.17,2.74,3.61,0,No,3.8,625,148.32,
SP26,1,Friday,Lunch,CKC,Salmon Pineapple Teriyaki Baked HALAL,Salmon Fillet Standard,Fish,0.84,1.66,0.2,3.2,,8.28,Yes,3.81,625,148.88,
